Splitting dataset into train/validation...
Train: 12418, Val: 1380
{'loss': 0.094, 'grad_norm': 0.29299479722976685, 'learning_rate': 0.0001476711740716892, 'epoch': 0.79}
{'loss': 0.0943, 'grad_norm': 0.24332311749458313, 'learning_rate': 0.00014724189740287615, 'epoch': 0.79}
{'loss': 0.103, 'grad_norm': 0.234892800450325, 'learning_rate': 0.0001468126207340631, 'epoch': 0.8}
{'loss': 0.0837, 'grad_norm': 0.2593999207019806, 'learning_rate': 0.00014638334406525004, 'epoch': 0.81}
{'loss': 0.0924, 'grad_norm': 0.3133540153503418, 'learning_rate': 0.000145954067396437, 'epoch': 0.81}
{'loss': 0.1123, 'grad_norm': 0.22311577200889587, 'learning_rate': 0.00014552479072762396, 'epoch': 0.82}
{'loss': 0.0865, 'grad_norm': 0.26310619711875916, 'learning_rate': 0.0001450955140588109, 'epoch': 0.82}
{'loss': 0.0897, 'grad_norm': 0.47700735926628113, 'learning_rate': 0.00014466623738999785, 'epoch': 0.83}
{'loss': 0.1104, 'grad_norm': 0.2842003405094147, 'learning_rate': 0.0001442369607211848, 'epoch': 0.84}
{'eval_loss': 0.10360541194677353, 'eval_runtime': 140.7942, 'eval_samples_per_second': 9.802, 'eval_steps_per_second': 4.901, 'epoch': 0.84}
{'loss': 0.0705, 'grad_norm': 0.26397576928138733, 'learning_rate': 0.00014380768405237174, 'epoch': 0.84}
{'loss': 0.0799, 'grad_norm': 0.2509150207042694, 'learning_rate': 0.0001433784073835587, 'epoch': 0.85}
{'loss': 0.0689, 'grad_norm': 0.2701358199119568, 'learning_rate': 0.00014294913071474566, 'epoch': 0.86}
{'loss': 0.1422, 'grad_norm': 0.22466476261615753, 'learning_rate': 0.00014251985404593263, 'epoch': 0.86}
{'loss': 0.0957, 'grad_norm': 0.28805050253868103, 'learning_rate': 0.00014209057737711957, 'epoch': 0.87}
{'loss': 0.1273, 'grad_norm': 0.37608546018600464, 'learning_rate': 0.00014166130070830652, 'epoch': 0.88}
{'loss': 0.1195, 'grad_norm': 0.48631975054740906, 'learning_rate': 0.00014123202403949346, 'epoch': 0.88}
{'loss': 0.0762, 'grad_norm': 0.2431056648492813, 'learning_rate': 0.0001408027473706804, 'epoch': 0.89}
{'loss': 0.085, 'grad_norm': 0.4580860435962677, 'learning_rate': 0.00014037347070186738, 'epoch': 0.9}
{'loss': 0.0762, 'grad_norm': 0.22284959256649017, 'learning_rate': 0.00013994419403305433, 'epoch': 0.9}
{'eval_loss': 0.1026918962597847, 'eval_runtime': 142.1763, 'eval_samples_per_second': 9.706, 'eval_steps_per_second': 4.853, 'epoch': 0.9}
{'loss': 0.1277, 'grad_norm': 0.3142291307449341, 'learning_rate': 0.00013951491736424127, 'epoch': 0.91}
{'loss': 0.1025, 'grad_norm': 0.3649316430091858, 'learning_rate': 0.00013908564069542822, 'epoch': 0.91}
{'loss': 0.1221, 'grad_norm': 0.29473575949668884, 'learning_rate': 0.00013865636402661516, 'epoch': 0.92}
{'loss': 0.0812, 'grad_norm': 0.24339595437049866, 'learning_rate': 0.00013822708735780213, 'epoch': 0.93}
{'loss': 0.1033, 'grad_norm': 0.28389209508895874, 'learning_rate': 0.00013779781068898908, 'epoch': 0.93}
{'loss': 0.1108, 'grad_norm': 0.2828909456729889, 'learning_rate': 0.00013736853402017602, 'epoch': 0.94}
{'loss': 0.0943, 'grad_norm': 0.223784402012825, 'learning_rate': 0.00013693925735136297, 'epoch': 0.95}
{'loss': 0.1018, 'grad_norm': 0.3095674216747284, 'learning_rate': 0.00013650998068254991, 'epoch': 0.95}
