Splitting dataset into train/validation...
Train: 12418, Val: 1380
Tokenizing datasets...
{'loss': 0.0161, 'grad_norm': 0.8796249628067017, 'learning_rate': 8.449197358468073e-05, 'epoch': 0.87}
{'loss': 0.0122, 'grad_norm': 0.0021860769484192133, 'learning_rate': 8.423608543839045e-05, 'epoch': 0.88}
{'loss': 0.0232, 'grad_norm': 0.004762529395520687, 'learning_rate': 8.397849784713205e-05, 'epoch': 0.88}
{'loss': 0.0207, 'grad_norm': 4.745678901672363, 'learning_rate': 8.371922359729545e-05, 'epoch': 0.89}
{'loss': 0.0028, 'grad_norm': 0.3198773264884949, 'learning_rate': 8.345827555899449e-05, 'epoch': 0.9}
{'loss': 0.0006, 'grad_norm': 0.0016079202760010958, 'learning_rate': 8.319566668542829e-05, 'epoch': 0.9}
{'eval_loss': 0.009122900664806366, 'eval_runtime': 117.7171, 'eval_samples_per_second': 11.723, 'eval_steps_per_second': 5.862, 'epoch': 0.9}
{'loss': 0.0039, 'grad_norm': 0.001471544150263071, 'learning_rate': 8.293141001223815e-05, 'epoch': 0.91}
{'loss': 0.0261, 'grad_norm': 0.18654654920101166, 'learning_rate': 8.266551865686043e-05, 'epoch': 0.91}
{'loss': 0.029, 'grad_norm': 0.483603298664093, 'learning_rate': 8.239800581787555e-05, 'epoch': 0.92}
{'loss': 0.0066, 'grad_norm': 0.041216615587472916, 'learning_rate': 8.212888477435272e-05, 'epoch': 0.93}
{'loss': 0.0118, 'grad_norm': 0.16751474142074585, 'learning_rate': 8.185816888519083e-05, 'epoch': 0.93}
{'loss': 0.0128, 'grad_norm': 0.04799631983041763, 'learning_rate': 8.158587158845526e-05, 'epoch': 0.94}
{'loss': 0.0112, 'grad_norm': 1.0362436771392822, 'learning_rate': 8.131200640071093e-05, 'epoch': 0.95}
{'loss': 0.0104, 'grad_norm': 0.08568276464939117, 'learning_rate': 8.103658691635128e-05, 'epoch': 0.95}
{'loss': 0.0067, 'grad_norm': 0.21228808164596558, 'learning_rate': 8.075962680692348e-05, 'epoch': 0.96}
{'loss': 0.0158, 'grad_norm': 1.654980182647705, 'learning_rate': 8.048113982044976e-05, 'epoch': 0.97}
{'eval_loss': 0.007539082784205675, 'eval_runtime': 116.1955, 'eval_samples_per_second': 11.877, 'eval_steps_per_second': 5.938, 'epoch': 0.97}
{'loss': 0.0026, 'grad_norm': 0.009942793287336826, 'learning_rate': 8.020113978074504e-05, 'epoch': 0.97}
{'loss': 0.0092, 'grad_norm': 2.9891090393066406, 'learning_rate': 7.991964058673062e-05, 'epoch': 0.98}
{'loss': 0.0039, 'grad_norm': 0.13664603233337402, 'learning_rate': 7.963665621174442e-05, 'epoch': 0.99}
{'loss': 0.0162, 'grad_norm': 0.04358748719096184, 'learning_rate': 7.935220070284715e-05, 'epoch': 0.99}
{'loss': 0.0084, 'grad_norm': 0.5721753239631653, 'learning_rate': 7.906628818012518e-05, 'epoch': 1.0}
{'loss': 0.0113, 'grad_norm': 1.2001233100891113, 'learning_rate': 7.877893283598959e-05, 'epoch': 1.0}
{'loss': 0.0155, 'grad_norm': 0.3938555419445038, 'learning_rate': 7.849014893447166e-05, 'epoch': 1.01}
